📊 Đang tải dữ liệu từ file h5...

=== PHASE 1: WARM-UP ===
[Phase 1] Epoch 01 | Train Acc: 0.5498 | Val Acc: 0.6550
[Phase 1] Epoch 02 | Train Acc: 0.6683 | Val Acc: 0.7035
[Phase 1] Epoch 03 | Train Acc: 0.7161 | Val Acc: 0.7300
[Phase 1] Epoch 04 | Train Acc: 0.7456 | Val Acc: 0.7516
[Phase 1] Epoch 05 | Train Acc: 0.7651 | Val Acc: 0.7646
[Phase 1] Epoch 06 | Train Acc: 0.7751 | Val Acc: 0.7604
[Phase 1] Epoch 07 | Train Acc: 0.7853 | Val Acc: 0.7763
[Phase 1] Epoch 08 | Train Acc: 0.7972 | Val Acc: 0.7771
[Phase 1] Epoch 09 | Train Acc: 0.8048 | Val Acc: 0.7874
[Phase 1] Epoch 10 | Train Acc: 0.8123 | Val Acc: 0.7939
[Phase 1] Epoch 11 | Train Acc: 0.8199 | Val Acc: 0.7869
[Phase 1] Epoch 12 | Train Acc: 0.8251 | Val Acc: 0.7938
[Phase 1] Epoch 13 | Train Acc: 0.8310 | Val Acc: 0.7960
[Phase 1] Epoch 14 | Train Acc: 0.8342 | Val Acc: 0.7982
[Phase 1] Epoch 15 | Train Acc: 0.8434 | Val Acc: 0.8011

=== PHASE 2: FINE-TUNING ===
[Phase 2] Epoch 01 | Train Acc: 0.8647 | Val Acc: 0.8148
[Phase 2] Epoch 02 | Train Acc: 0.8733 | Val Acc: 0.8212
[Phase 2] Epoch 03 | Train Acc: 0.8814 | Val Acc: 0.8239
[Phase 2] Epoch 04 | Train Acc: 0.8862 | Val Acc: 0.8275
[Phase 2] Epoch 05 | Train Acc: 0.8911 | Val Acc: 0.8325
[Phase 2] Epoch 06 | Train Acc: 0.8967 | Val Acc: 0.8333
[Phase 2] Epoch 07 | Train Acc: 0.9002 | Val Acc: 0.8306
[Phase 2] Epoch 08 | Train Acc: 0.9012 | Val Acc: 0.8380
[Phase 2] Epoch 09 | Train Acc: 0.9056 | Val Acc: 0.8368
[Phase 2] Epoch 10 | Train Acc: 0.9093 | Val Acc: 0.8371
[Phase 2] Epoch 11 | Train Acc: 0.9118 | Val Acc: 0.8419
[Phase 2] Epoch 12 | Train Acc: 0.9143 | Val Acc: 0.8433
[Phase 2] Epoch 13 | Train Acc: 0.9168 | Val Acc: 0.8434
[Phase 2] Epoch 14 | Train Acc: 0.9190 | Val Acc: 0.8479
[Phase 2] Epoch 15 | Train Acc: 0.9201 | Val Acc: 0.8503
[Phase 2] Epoch 16 | Train Acc: 0.9243 | Val Acc: 0.8489
[Phase 2] Epoch 17 | Train Acc: 0.9254 | Val Acc: 0.8487
[Phase 2] Epoch 18 | Train Acc: 0.9273 | Val Acc: 0.8525
[Phase 2] Epoch 19 | Train Acc: 0.9293 | Val Acc: 0.8484
[Phase 2] Epoch 20 | Train Acc: 0.9301 | Val Acc: 0.8511
[Phase 2] Epoch 21 | Train Acc: 0.9309 | Val Acc: 0.8506
[Phase 2] Epoch 22 | Train Acc: 0.9358 | Val Acc: 0.8518
[Phase 2] Epoch 23 | Train Acc: 0.9363 | Val Acc: 0.8534
[Phase 2] Epoch 24 | Train Acc: 0.9371 | Val Acc: 0.8534
[Phase 2] Epoch 25 | Train Acc: 0.9409 | Val Acc: 0.8529
[Phase 2] Epoch 26 | Train Acc: 0.9404 | Val Acc: 0.8544
[Phase 2] Epoch 27 | Train Acc: 0.9421 | Val Acc: 0.8522
[Phase 2] Epoch 28 | Train Acc: 0.9419 | Val Acc: 0.8558
[Phase 2] Epoch 29 | Train Acc: 0.9459 | Val Acc: 0.8534
[Phase 2] Epoch 30 | Train Acc: 0.9457 | Val Acc: 0.8589
[Phase 2] Epoch 31 | Train Acc: 0.9479 | Val Acc: 0.8595
[Phase 2] Epoch 32 | Train Acc: 0.9479 | Val Acc: 0.8590
[Phase 2] Epoch 33 | Train Acc: 0.9502 | Val Acc: 0.8578
[Phase 2] Epoch 34 | Train Acc: 0.9508 | Val Acc: 0.8599
[Phase 2] Epoch 35 | Train Acc: 0.9531 | Val Acc: 0.8578

🎨 Đang tạo Confusion Matrix cho tập Test...
✅ Đã hoàn thành và lưu mô hình.
