epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.615,2.10773,2.01773,0.01204,0.73654,0.54181,0.59979,0.32619,1.86359,1.37279,0.0112,0.000665076,0.000665076,0.000665076
2,389.63,1.96503,1.2886,0.01055,0.7539,0.54976,0.61851,0.35677,1.84487,1.11711,0.01093,0.00126582,0.00126582,0.00126582
3,508.025,1.95309,1.20571,0.01039,0.79454,0.57338,0.63845,0.3602,1.88303,1.03877,0.01195,0.00180057,0.00180057,0.00180057
4,584.011,1.95975,1.17258,0.01035,0.81764,0.57816,0.66307,0.37985,1.84116,1.02071,0.01081,0.001703,0.001703,0.001703
5,661.414,1.92042,1.12762,0.01013,0.84228,0.59015,0.67696,0.39536,1.78139,0.97412,0.01061,0.001604,0.001604,0.001604
6,740.618,1.90001,1.09791,0.00981,0.84036,0.60158,0.68706,0.39867,1.7851,0.93835,0.01046,0.001505,0.001505,0.001505
7,818.418,1.88628,1.07335,0.00975,0.84554,0.61181,0.68979,0.41295,1.75617,0.91658,0.01025,0.001406,0.001406,0.001406
8,892.546,1.86025,1.04393,0.00954,0.85193,0.61054,0.69973,0.41749,1.74108,0.92045,0.01008,0.001307,0.001307,0.001307
9,1130.44,1.84323,1.02801,0.00946,0.85269,0.61935,0.69991,0.41347,1.76852,0.91566,0.01018,0.001208,0.001208,0.001208
10,1364.56,1.82384,1.01342,0.00931,0.85369,0.62715,0.71191,0.42974,1.70674,0.89754,0.00962,0.001109,0.001109,0.001109
11,1591.49,1.75236,0.9388,0.00989,0.8649,0.61975,0.71064,0.42557,1.72445,0.89495,0.00953,0.00101,0.00101,0.00101
12,1695.31,1.73759,0.91453,0.00979,0.85762,0.62822,0.71535,0.43352,1.7023,0.86553,0.00967,0.000911,0.000911,0.000911
13,1798.23,1.72855,0.9092,0.00958,0.86788,0.63398,0.72275,0.44246,1.69138,0.85354,0.00934,0.000812,0.000812,0.000812
14,1869.47,1.70921,0.88517,0.00939,0.86475,0.64189,0.72868,0.44864,1.6678,0.84014,0.0093,0.000713,0.000713,0.000713
15,1940.26,1.69113,0.87441,0.00924,0.86921,0.64259,0.73204,0.45298,1.65138,0.82082,0.00902,0.000614,0.000614,0.000614
16,2059.34,1.67835,0.86479,0.00909,0.87167,0.64997,0.73792,0.45599,1.65748,0.8079,0.00913,0.000515,0.000515,0.000515
17,2260.71,1.66333,0.84434,0.00899,0.88008,0.64703,0.73746,0.4586,1.64044,0.81156,0.00897,0.000416,0.000416,0.000416
18,2388.02,1.65753,0.83457,0.00885,0.8837,0.64754,0.73855,0.45992,1.63697,0.80442,0.00894,0.000317,0.000317,0.000317
19,2501.68,1.63541,0.8318,0.00873,0.87764,0.65329,0.74196,0.46362,1.6253,0.80736,0.0088,0.000218,0.000218,0.000218
20,2583.45,1.63312,0.82679,0.00862,0.88265,0.65506,0.74285,0.46441,1.62274,0.80108,0.00878,0.000119,0.000119,0.000119
