📊 Đang tải dữ liệu từ file h5...

=== PHASE 1: WARM-UP ===
[Phase 1] Epoch 01 | Train Acc: 0.5586 | Val Acc: 0.6853
[Phase 1] Epoch 02 | Train Acc: 0.6985 | Val Acc: 0.7388
[Phase 1] Epoch 03 | Train Acc: 0.7409 | Val Acc: 0.7672
[Phase 1] Epoch 04 | Train Acc: 0.7647 | Val Acc: 0.7710
[Phase 1] Epoch 05 | Train Acc: 0.7822 | Val Acc: 0.7835
[Phase 1] Epoch 06 | Train Acc: 0.7959 | Val Acc: 0.7722
[Phase 1] Epoch 07 | Train Acc: 0.8031 | Val Acc: 0.7890
[Phase 1] Epoch 08 | Train Acc: 0.8123 | Val Acc: 0.7951
[Phase 1] Epoch 09 | Train Acc: 0.8191 | Val Acc: 0.7929
[Phase 1] Epoch 10 | Train Acc: 0.8265 | Val Acc: 0.8075
[Phase 1] Epoch 11 | Train Acc: 0.8309 | Val Acc: 0.8082
[Phase 1] Epoch 12 | Train Acc: 0.8398 | Val Acc: 0.7946
[Phase 1] Epoch 13 | Train Acc: 0.8436 | Val Acc: 0.8104
[Phase 1] Epoch 14 | Train Acc: 0.8483 | Val Acc: 0.8040
[Phase 1] Epoch 15 | Train Acc: 0.8530 | Val Acc: 0.8116

=== PHASE 2: FINE-TUNING ===
[Phase 2] Epoch 01 | Train Acc: 0.8756 | Val Acc: 0.8318
[Phase 2] Epoch 02 | Train Acc: 0.8836 | Val Acc: 0.8354
[Phase 2] Epoch 03 | Train Acc: 0.8909 | Val Acc: 0.8404
[Phase 2] Epoch 04 | Train Acc: 0.8969 | Val Acc: 0.8386
[Phase 2] Epoch 05 | Train Acc: 0.9012 | Val Acc: 0.8419
[Phase 2] Epoch 06 | Train Acc: 0.9063 | Val Acc: 0.8462
[Phase 2] Epoch 07 | Train Acc: 0.9088 | Val Acc: 0.8470
[Phase 2] Epoch 08 | Train Acc: 0.9108 | Val Acc: 0.8457
[Phase 2] Epoch 09 | Train Acc: 0.9143 | Val Acc: 0.8491
[Phase 2] Epoch 10 | Train Acc: 0.9167 | Val Acc: 0.8499
[Phase 2] Epoch 11 | Train Acc: 0.9189 | Val Acc: 0.8529
[Phase 2] Epoch 12 | Train Acc: 0.9193 | Val Acc: 0.8537
[Phase 2] Epoch 13 | Train Acc: 0.9244 | Val Acc: 0.8532
[Phase 2] Epoch 14 | Train Acc: 0.9251 | Val Acc: 0.8547
[Phase 2] Epoch 15 | Train Acc: 0.9262 | Val Acc: 0.8558
[Phase 2] Epoch 16 | Train Acc: 0.9279 | Val Acc: 0.8551
[Phase 2] Epoch 17 | Train Acc: 0.9306 | Val Acc: 0.8578
[Phase 2] Epoch 18 | Train Acc: 0.9327 | Val Acc: 0.8582
[Phase 2] Epoch 19 | Train Acc: 0.9352 | Val Acc: 0.8553
[Phase 2] Epoch 20 | Train Acc: 0.9347 | Val Acc: 0.8585
[Phase 2] Epoch 21 | Train Acc: 0.9366 | Val Acc: 0.8589
[Phase 2] Epoch 22 | Train Acc: 0.9399 | Val Acc: 0.8594
[Phase 2] Epoch 23 | Train Acc: 0.9397 | Val Acc: 0.8592
[Phase 2] Epoch 24 | Train Acc: 0.9425 | Val Acc: 0.8604
[Phase 2] Epoch 25 | Train Acc: 0.9439 | Val Acc: 0.8625
[Phase 2] Epoch 26 | Train Acc: 0.9458 | Val Acc: 0.8599
[Phase 2] Epoch 27 | Train Acc: 0.9462 | Val Acc: 0.8631
[Phase 2] Epoch 28 | Train Acc: 0.9469 | Val Acc: 0.8609
[Phase 2] Epoch 29 | Train Acc: 0.9505 | Val Acc: 0.8601
[Phase 2] Epoch 30 | Train Acc: 0.9504 | Val Acc: 0.8642
[Phase 2] Epoch 31 | Train Acc: 0.9516 | Val Acc: 0.8628
[Phase 2] Epoch 32 | Train Acc: 0.9527 | Val Acc: 0.8630
[Phase 2] Epoch 33 | Train Acc: 0.9528 | Val Acc: 0.8633
[Phase 2] Epoch 34 | Train Acc: 0.9544 | Val Acc: 0.8643
[Phase 2] Epoch 35 | Train Acc: 0.9571 | Val Acc: 0.8659

🎨 Đang tạo Confusion Matrix cho tập Test...
✅ Đã hoàn thành và lưu mô hình.
